"Presence_absence","Longitude","Latitude","Day","Month","Year","PC1","PC2","PC3","PC4","PC5","PC6"
1,-97.86,37.81,1,"November",2020,-0.944668591022491,-0.432790368795395,-0.642901659011841,-0.504641830921173,-0.0131025202572346,-0.0255705341696739
1,-95.45,38.97,5,"November",2020,-1.01664483547211,-0.277251213788986,-0.844385027885437,-0.420812368392944,0.0453971512615681,0.0262242797762156
1,-96.49,38.69,3,"November",2020,-0.987446486949921,-0.358744353055954,-0.740721702575684,-0.47350400686264,0.0146987307816744,0.0107588935643435
1,-94.68,38.51,4,"November",2020,-1.05649435520172,-0.327266365289688,-0.739230811595917,-0.379620492458344,-0.0135989002883434,0.0519277304410934
1,-99.55,39.38,2,"November",2020,-1.18284225463867,-0.649683237075806,-0.314515024423599,-0.871440887451172,0.207873448729515,-0.272819846868515
0,-96.49,38.69,31,"October",2020,-0.987446486949921,-0.358744353055954,-0.740721702575684,-0.47350400686264,0.0146987307816744,0.0107588935643435
0,-97.21,36.11,5,"November",2020,-0.677000641822815,-0.372752606868744,-0.807395577430725,-0.480298101902008,-0.0128594813868403,0.0429363586008549
0,-97.39,35.65,5,"November",2020,-0.595041275024414,-0.297443807125092,-0.928098678588867,-0.413366198539734,-0.0101586505770683,0.12578558921814
1,-95.45,38.97,12,"October",2020,0.345086395740509,-0.352512240409851,-1.06769502162933,-0.419391602277756,0.0300989877432585,0.043081272393465
0,-97.39,35.65,10,"October",2020,0.759217023849487,-0.477268993854523,-1.04405295848846,-0.492950439453125,-0.162676393985748,0.089552640914917
0,-97.21,36.11,8,"October",2020,0.644320964813232,-0.541614472866058,-0.920821189880371,-0.566729664802551,-0.107706040143967,0.00196507479995489
1,-95.45,38.97,6,"November",2021,-1.65408194065094,0.0448058545589447,-0.882034063339233,0.0344987995922565,0.177856892347336,0.191255614161491
0,-97.21,36.11,8,"November",2021,-1.37870299816132,0.600525200366974,-0.868136346340179,-0.0578973367810249,0.261170148849487,0.15045739710331
0,-97.39,35.65,5,"November",2021,-1.33615851402283,0.729803800582886,-0.882751762866974,-0.0223395340144634,0.251789152622223,0.21225842833519
1,-95.45,38.97,18,"November",2021,-2.06317043304443,-0.135606646537781,-0.694522380828857,-0.137029692530632,0.000460040173493326,0.0886942073702812
1,-99.55,39.38,22,"November",2021,-2.22648501396179,-0.171721503138542,-0.621805250644684,-0.231381669640541,0.0683766826987267,-0.176063492894173
0,-94.8,37.35,21,"November",2021,-1.82348966598511,-0.0118323294445872,-0.695537507534027,-0.195454210042953,0.0174365043640137,0.0779230818152428
0,-97.86,37.81,21,"November",2021,-1.9109753370285,-0.211369425058365,-0.639687240123749,-0.21643054485321,0.000117965857498348,0.0143032185733318
0,-96.49,38.69,20,"November",2021,-2.06081104278564,-0.153365448117256,-0.670823037624359,-0.155594706535339,0.0106015112251043,0.0386007502675056
0,-94.68,38.51,17,"November",2021,-2.03602981567383,-0.13347564637661,-0.691573798656464,-0.103970892727375,-0.0123548330739141,0.119864672422409
