"Numbers","Your.ID.Number","Institution.Investigator","Def.ID.number","Species","How.Determined","Day","Month","Year","State","site.code","County","date_id","Latitude","Longitude","wkt_lines","How.Located","Host.Env","Which.Host","host_life_stage","host_sex","Which.env","temp_start","humid_start","wind_start","light.start","temp_end","humid_end","wind_end","light_end","temp_avg","humid_avg","wind_avg","light_avg","Life.Stage","Number.of.ticks","Comments","tested","pathogen1_ricketsia","pathogen2_e_chaf","pathogen3_e_ewingii","pathogen4_borrelia","coinfection"
1494,"3-Jun-22","KU","KU_Aetna3JUN2022_F_NA_incomplete","Amblyomma americanum","Morphology",3,"June",2022,"KS","Aetna","Barber","3-Jun-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","1","General_Apparently general but FROM WHERE?","","","","","",NA
1496,"3-Jun-22","KU","KU_Aetna3JUN2022_F_NA_incomplete","Amblyomma americanum","Morphology",3,"June",2022,"KS","Aetna","Barber","3-Jun-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","2","General_Apparently general but FROM WHERE?","","","","","",NA
1497,"3-Jun-22","KU","KU_Aetna3JUN2022_M_NA_incomplete","Amblyomma americanum","Morphology",3,"June",2022,"KS","Aetna","Barber","3-Jun-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","1","General_Apparently general but FROM WHERE?","","","","","",NA
1498,"3-Jun-22","KU","KU_Aetna3JUN2022_M_NA_incomplete","Dermacentor variabilis","Morphology",3,"June",2022,"KS","Aetna","Barber","3-Jun-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","1","General_Apparently general but FROM WHERE?","","","","","",NA
411,"5-Jun-22","KU","KU_Aetna5JUN2022_Nymph_NA_incomplete","Amblyomma americanum","Morphology",5,"June",2022,"KS","Aetna","Barber","5-Jun-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nymph","1","General","no",NA,NA,NA,NA,NA
1503,"5-Jun-22","KU","KU_Aetna5JUN2022_M_NA_incomplete","Amblyomma americanum","Morphology",5,"June",2022,"KS","Aetna","Barber","5-Jun-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","1","General","","","","","",NA
6,"UCO22Aug2020-1","UCO","UCO22Aug2020-Ny_F12_NT","Amblyomma americanum","Morphology",22,"August",2020,"Oklahoma","Arcadia","Oklahoma","22-Aug-20",35.65,-97.39,"LINESTRING (-97.3877754041527 35.6496486942889,-97.3883195470206 35.6499543329777)","Flag 12","env","na",NA,NA,"woods",27.2,61,0,"na",28.9,45,1.7,"na",28.1,"53",0.9,"na","Nymph","3","","no",NA,NA,NA,NA,NA
130,"UCO22Aug2020-1","UCO","UCO22Aug2020-Ny_F18_NT","Amblyomma americanum","Morphology",22,"August",2020,"Oklahoma","Arcadia","Oklahoma","22-Aug-20",35.65,-97.39,"LINESTRING (-97.387750670386 35.6496910950319,-97.3882700794872 35.6499932003254)","Flag 18","env","na",NA,NA,"woods",27.2,61,0,"na",28.9,45,1.7,"na",28.1,"53",0.9,"na","Nymph","1","","no",NA,NA,NA,NA,NA
247,"UCO22Aug2020-1","UCO","UCO22Aug2020-Ny_F21_NT","Amblyomma americanum","Morphology",22,"August",2020,"Oklahoma","Arcadia","Oklahoma","22-Aug-20",35.65,-97.39,"LINESTRING (-97.388252412511 35.6500108673017,-97.3877400702002 35.6497052286129)","Flag 21","env","na",NA,NA,"woods",27.2,61,0,"na",28.9,45,1.7,"na",28.1,"53",0.9,"na","Nymph","1","","no",NA,NA,NA,NA,NA
251,"UCO22Aug2020-1","UCO","UCO22Aug2020-Ny_F23_NT","Amblyomma americanum","Morphology",22,"August",2020,"Oklahoma","Arcadia","Oklahoma","22-Aug-20",35.65,-97.39,"LINESTRING (-97.3882365122323 35.6500250008826,-97.3877330034097 35.6497193621938)","Flag 23","env","na",NA,NA,"woods",27.2,61,0,"na",28.9,45,1.7,"na",28.1,"53",0.9,"na","Nymph","1","","no",NA,NA,NA,NA,NA
